Key,Id,English(en),Japanese(ja),Russian(ru),Spanish(es),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),German(de),French(fr),Kazakh(kk),Korean(ko),Polish(pl),Turkish(tr),Ukrainian(uk)
"TIP_D_LOCK",74429046658736128,"Lock Mode (Experimental) adds camera tracking to dances. Some dance files include large left or right movements that can move the avatar outside the visible play space. Enabling Lock Mode makes the engine window follow the avatar’s motion, preventing it from moving out of bounds.","Lock Mode（実験的機能）を有効にすると、ダンスにカメラ追従が追加されます。
一部のダンスは左右への動きが大きく、アバターが画面買いに出てしまうことがあります。
Lock Mode を有効にすると、アバターの動きにあわせてウィンドウが追従し、画面外へのはみ出しを防ぎます。","Режим блокировки (Экспериментальный) добавляет отслеживание камеры во время танцев. Некоторые файлы танцев содержат большие движения влево или вправо, из-за которых аватар может выйти за пределы видимой области. При включении режима блокировки окно движка следует за движениями аватара, не позволяя ему выйти за границы.","El Modo Bloqueo (Experimental) añade seguimiento de cámara a los bailes. Algunos archivos de baile incluyen movimientos amplios hacia la izquierda o la derecha que pueden sacar al avatar del área visible. Al activar el Modo Bloqueo, la ventana del motor sigue el movimiento del avatar, impidiendo que se salga de los límites.","锁定模式（实验性功能）为舞蹈添加相机追踪。一些舞蹈文件包含幅度较大的左右移动，可能导致角色移出窗口的可见范围。启用锁定模式后，窗口会跟随角色运动，防止其移出边界。","鎖定模式（實驗性功能）會在舞蹈中加入鏡頭追蹤。一些舞蹈檔案包含大幅度的左右移動，可能導致角色移出視窗範圍。啟用鎖定模式後，視窗會跟隨角色的動作，避免它移出邊界。","Der Lock-Modus (Experimentell) fügt den Tänzen eine Kamera-Verfolgung hinzu; einige Tanzdateien enthalten große Bewegungen nach links oder rechts, die den Avatar aus dem sichtbaren Spielfeld bewegen könnten, aber wenn der Lock-Modus aktiviert ist, folgt das Engine-Fenster den Bewegungen des Avatars, sodass er nicht aus dem Sichtbereich herausrutscht.","Le Mode Lock (expérimental) ajoute le suivi de la caméra aux danses. Certains fichiers de danse incluent de grands mouvements vers la gauche ou la droite qui peuvent déplacer l’avatar hors de la zone de jeu visible. Activer le Mode Lock permet à la fenêtre du moteur de suivre le mouvement de l’avatar, évitant ainsi qu’il ne sorte des limites de l’écran.
","Lock Mode (эксперименттік) билерге камераның қозғалысын бақылауды қосады. Кейбір би файлдарында аватарды көрінетін аймақтан тыс жылжытуы мүмкін үлкен солға не оңға қозғалыстар бар. Lock Mode режимін қосқанда, қозғалтқыш терезесі аватардың қозғалысын қадағалап, оның шектен шығып кетпеуін қамтамасыз етеді.","잠금 모드 (실험적 기능)은 춤에 카메라 추적 기능을 추가합니다. 몇몇개 춤 파일은 동작이 너무 커서 아바타가 바깥으로 나갈 수 있는데, 잠금 모드를 켜서 MateEngine의 창이 아바타 움직임을 따라가서 밖으로 나가지 않게 합니다.","Lock Mode (Eksperymentalny) dodaje tracking kamery do tańców. Niektóre pliki tańca zawierają duże ruchy w prawo lub lewo, co przemieszcza awatara za widoczne okno. Włączenie Lock Mode sprawia, że okno będzie podążać za awatarem, aby nie wyszedł poza okno.","Kilit Modu (Deneysel), danslara kamera takibini ekler. Bazı dans dosyaları, avatarın görünür oyun alanının dışına çıkmasına neden olabilecek geniş sağa veya sola hareketler içerir. Kilit Modu etkinleştirildiğinde, motor penceresi avatarın hareketini takip eder ve onun alan dışına çıkmasını engeller.","Режим блокування (Eкспериментальний) додає відстеження камери під час танців. Деякі файли танців містять великі рухи вліво або вправо, через які аватар може вийти за межі видимої області. При ввімкненні режиму блокування вікно додатку слідує за рухами аватара, не дозволяючи йому вийти за межі."
"MC_EAT",74473517958078464,"Yay!! Some food! Yummy!! ^-^","やった～、ごはんだ！おいしそうっ！！^-^","Ура!! Еда! Вкуснятина!! ^-^","¡¡Sí!! ¡Algo de comida! ¡Qué rico! ^-^","耶！！是食物！好吃！！ ^-^","耶！！是食物！好吃！！ ^-^","Juhu!! Essen!! Lecker!! ^-^","Ouais !! De la nourriture ! Miam !! ^-^
","Ура!! Тамақ!! Ммм, дәмді ғой!! ^-^","만세!! 먹을 거 생겼다! 맛있는 냄새! ^-^","Jejj!! Jakieś jedzonko!! Pycha!! ^-^","Yaşasın!! Yemek zamanıı~! Nefis görünüyor!! ^-^","Ура!! Їжа! Смакота!! ^-^"
"MC_KILL",74473519275089920,"Woah!! What a fight!!","わあ！！すごい戦いだね！！","Ух ты!! Какая драка!!","¡¡Guau!! ¡¡Qué pelea!!","哇！真是场激斗！！","哇！好激烈的戰鬥！！","Wow!! So ein Kampf!!","Waouh !! Quel combat !!","Мәәә!!... Қандай айқас!!","와아!! 멋진 싸움이었어!!","
Wooow!! Jaka bójka!!","Wooow!! Ne dövüş ama~!!","Ого!! Яка бійка!!"
"MC_BIOME",74473520520798208,"Mmh.. I think this is... oh right! This is a <biome>!!","ん～、ここはたしか…　あっ！<biome> だ！！","Мм.. Кажется, это... а, точно! Это <biome>!!","Mmmh... creo que esto es... ¡ah, claro! ¡Esto es un <biome>!","嗯……我觉得这地方是……哦对！这里是<biome>！！","嗯……我覺得這地方是……喔對！這裡是<biome>！！","Mmh… ich glaube, das ist… ach richtig! Das ist ein <biome>!!","Mmh ... Je crois que c’est ... ah oui ! C’est <biome> !!
","Ммм... Бұл... әә, есіме түсті! Бұл <biome>!!","음… 여기는… 아, 맞다! <biome>이구나!","Hmm... To chyba... A, racja! To jest <biome>!!","Hmm… sanırım bu… aa evet! Bu bir <biome>!!","Мм... Здається, це... а, точно! Це <biome>!!"
"MC_EAT_2",74494164503404544,"Mhh! Yummyy!! I hope it tasted good! <3","ん～！おいしそう！ねえねえ、どうだった？<3","Ммм! Вкуснятина!! Надеюсь, тебе понравилось! <3","¡Mmm! ¡Qué rico! ¡Espero que haya estado bueno! <3","嗯，看起来好香啊！希望它尝起来也不错 <3","嗯，看起來好香喔！希望味道也一樣棒 <3","Mmh, so lecker!! Hoffentlich hat es dir geschmeckt! <3","Mhh ! Miam !! J’espère que c’était bon ! <3
","Ммм! Дәмді!! Ұнады ма? <3","음! 맛있겠다! 맛있게 먹었으면 좋겠어! <3","Pychota! Mam nadzieję, że było smaczne! <3","Mhh! Nefisss!! Umarım tadı güzel olmuştur! <3","Ммм! Смакота!! Сподіваюся, тобі сподобалося! <3"
"MC_EAT_3",74494166046908416,"I love food!! Give me some too!","ごはん大好き！私にも一口ちょーだい！","Я люблю еду!! Дай и мне немного!","¡Me encanta la comida! ¡Dame un poco también!","我喜欢好吃的东西！！也给我分给我一口吧！","我最喜歡好吃的東西啦！！也給我一口吧！","Ich liebe Essen!! Gib mir auch was!","J’adore la nourriture !! Donne-m’en aussi !
","Мен тамақты жақсы көремін!! Маған да берші!","나 음식 완전 좋아해! 나도 좀 줘!","Kocham jedzonko!!! Podziel się ze mną!","Yemeği çok seviyorum!! Bana da versene!","Я люблю їжу!! Дай і мені трохи!"
"MC_EAT_4",74494167372308480,"I can imagine! It was tasty, right? <3","うんうん、きっとおいしかったよね？<3","Могу себе представить! Было вкусно, да? <3","¡Me imagino que estaba rico! ¿verdad? <3","我都想象到它的味道了！肯定很美味，是吧？ <3","我都能想像出它的味道了！一定很美味，對吧？ <3","Ich kann es mir vorstellen! Es war lecker, nicht war? <3","Je peux imaginer ! C’était bon, n’est-ce pas ? <3
","Елестетіп тұрмын! Дәмді болған шығар, иә ма? <3","왠지 알 것 같아! 최고로 맛있었을 거야, 그치? <3","Oj, wierzę! Było smaczne, nie? <3","Tahmin edebiliyorum! Lezzetliydi, değil mi? <3","Можу собі уявити! Було смачно, так? <3"
"MC_BIOME_2",74494450139701248,"Woah! We are now in <biome>! Amazing! <3","わぁっ！ここ、 <biome> だ！！すご～い！<3","Ух ты! Мы сейчас в <biome>! Круто! <3","¡Guau! ¡Estamos en <biome>! ¡Increíble! <3","哦！我们到了<biome>这里了，真不错！ <3","喔！我們現在在<biome>呢，真棒！ <3","Whoa! Wir sind jetzt im <biome>! Unglaublich! <3","Waouh ! Nous sommes maintenant dans <biome> ! Incroyable ! <3
","Ой, қарашы! Біз <biome>-ге келдік! Керемет! <3","우와아! 여기가 바로 <biome>이구나! 멋지다! <3","Wow! Jesteśmy teraz na <biome>! Ale super!","Vay canına! Şimdi <biome> bölgesindeyiz! Harika! <3","Ого! Ми зараз в <biome>! Круто! <3"
"MC_BIOME_3",74494451326689280,"Weee! <biome> is such a cool place, right? :D <3","わ～い！<biome> って本当にステキな場所だよね！<3","Уиии! <biome> такое крутое место, правда? :D <3","¡Guau! <biome> es un lugar genial, ¿verdad? :D <3","Weee！<biome>是个超酷的地方，对吧？ :D <3","Weee~！<biome>是個超酷的地方，對吧？ :D <3","Weee! <biome> ist so ein cooler Ort, oder? :D <3","Weee ! <biome> est un endroit tellement cool, n'est-ce pas ? :D <3
","Уии! <biome> — керемет қой! :D <3 ","우와! <biome>는 진짜 멋진 곳이야! 그렇지? :D <3","Łaaa! <biome> to takie fajne miejsce, nie? :D","Weee! <biome> ne kadar havalı bir yer, değil mi? :D <3","Уііі! <biome> таке класне місце, правда? :D <3"
"MC_BIOME_4",74494452492705792,"I-I know this place! It’s <biome>, right??","あ、ここ知ってる！確か、<biome> だよね？？","Я-я знаю это место! Это <biome>, правда??","¡Conozco este lugar! Es <biome>, ¿verdad?","我、我知道这地方！这里是<biome>，对吧？","我、我知道這是哪裡！是<biome>，對不對！？","I-Ich kenne diesen Ort! Das ist <biome>, oder??","J-Je connais cet endroit ! C’est un(e) <biome>, n’est-ce pas ??
","М-мен бұл жерді танимын! Бұл <biome>, иә ма?","나-나 이 장소 알아! <biome> 맞지??","Z-znam to miejsce! To <biome>, prawda??","B-Bu yeri biliyorum! Bu... <biome>, değil mi??","Я-я знаю це місце! Це <biome>, правильно??"
